symbol,interval,open,high,low,close,adjusted_close,volume
HSPX.LSE,d,828.5,831.25,827.75,830.25,683.1986,74160
HSPX.LSE,d,829.25,830.5,826.75,829.75,682.7872,42371
HSPX.LSE,d,828.75,837.25,828.75,834.875,687.0045,194959
HSPX.LSE,d,828.75,831.56,828.44,830.25,683.1986,85396
HSPX.LSE,d,824.5,824.8,821.0,823.875,677.9528,120961
HSPX.LSE,d,819.0,825.12,819.0,821.375,675.8956,223300
HSPX.LSE,d,818.5,822.25,818.5,819.875,674.6612,304239
HSPX.LSE,d,819.25,819.25,817.125,817.125,672.3983,8459
HSPX.LSE,d,819.0,819.0,815.25,815.25,670.8554,6123
HSPX.LSE,d,811.75,813.45,809.0,810.375,666.8438,42747
HSPX.LSE,d,812.25,815.0,811.5,811.625,667.8724,115155
HSPX.LSE,d,804.5,806.45,802.5,804.25,661.8037,6101
HSPX.LSE,d,805.25,811.5,805.25,811.5,667.7696,93621
HSPX.LSE,d,813.0,813.0,801.75,803.75,661.3922,164346
HSPX.LSE,d,803.75,805.81,803.0,803.0,660.7751,75454
HSPX.LSE,d,811.5,816.69,811.38,815.25,670.8554,86028
HSPX.LSE,d,814.5,814.5,809.625,809.625,666.2267,103992
HSPX.LSE,d,814.25,821.875,814.241,821.875,676.307,30873
HSPX.LSE,d,820.75,821.0,816.25,818.375,673.4269,135325
HSPX.LSE,d,818.0,819.25,815.75,818.375,673.4269,55495
HSPX.LSE,d,824.75,829.25,823.19,825.625,679.3928,34871
HSPX.LSE,d,824.0,826.75,817.625,817.625,672.8097,121855
HSPX.LSE,d,822.75,822.75,816.75,820.375,675.0727,194914
HSPX.LSE,d,821.5,828.0,821.5,828.0,681.3472,396681
HSPX.LSE,d,824.75,827.5,823.5,826.0,679.7014,73689
HSPX.LSE,d,828.5,833.59,826.43,831.75,684.433,77274
HSPX.LSE,d,832.25,832.5,824.75,825.25,679.0842,78574
HSPX.LSE,d,825.75,827.25,823.93,827.125,680.6271,67218
HSPX.LSE,d,837.0,837.0,832.5,832.5,685.0501,23172
HSPX.LSE,d,826.0,831.68,826.0,830.5,683.4044,11386
HSPX.LSE,d,822.5,824.75,820.5,820.5,675.1755,47142
HSPX.LSE,d,825.25,831.25,825.25,831.25,684.0215,28019
